id,title,author,year,language
101,Being and Nothingness,Jean-Paul Sartre,1943,French
102,Belle du Seigneur,Albert Cohen,1968,French
103,Beloved,Toni Morrison,1987,English
104,Between the World and Me,Ta-Nehisi Coates,2015,English
105,Blake and Mortimer,Edgar P. Jacobs,1950,French
106,Blood Meridian,Cormac McCarthy,1985,English
107,Bonjour Tristesse,Fran?oise Sagan,1954,French
108,Broken Glass,Alain Mabanckou,2005,French
109,Brooklyn,Colm T?ib?n,2009,English
110,Call It Sleep,Henry Roth,1934,English
111,Capital in the Twenty First Century,Thomas Piketty,2013,French
112,Capital of Pain,Paul ?luard,1926,French
113,Charlotte's Web,E.B. White,1952,English
114,Chronicles: Volume One,Bob Dylan,2004,English
115,Citizen: An American Lyric,Claudia Rankine,2014,English
116,Clarissa,Samuel Richardson,1748,English
117,Cloud Atlas ,David Mitchell,2004,English
118,Confusion of Feelings,Stefan Zweig,1944,German
119,Contempt/A Ghost at Noon,Alberto Moravia,1954,Italian
120,Coraline,Neil Gaiman,2002,English
121,Dangerous Liaisons,Pierre Choderlos De Laclos,1782,French
122,Daniel Deronda,George Eliot,1876,English
123,Darkmans,Nicola Barker,2007,English
124,Darkness at Noon,Arthur Koestler,1940,German/English
125,Dart,Alice Oswald,2002,English
126,David Copperfield,Charles Dickens,1849,English
127,Days Without End,Sebastian Barry,2016,English
128,Dog Soldiers,Robert Stone,1974,English
129,Don Quixote,Miguel De Cervantes,1605,Spanish
130,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,2009,Polish
131,?crits,Jacques Lacan,1966,French
132,Emma,Jane Austen,1815,English
133,Experience,Martin Amis,2000,English
134,Falconer,John Cheever,1977,English
135,Ficciones,Jorge Luis Borges,1941,Spanish
136,Fingersmith,Sarah Waters,2002,English
137,Finnegans Wake,James Joyce,1939,English
138,For Whom the Bell Tolls,Ernest Hemingway,1940,English
139,Frankenstein,Mary Shelley,1818,English
140,Friday,Michel Tournier,1967,French
141,From Here to Eternity,James Jones,1951,English
142,Froth on the Daydream,Boris Vian,1947,French
143,Fun Home,Alison Bechdel,2006,English
144,Furor and Mystery,Ren? Char,1948,French
145,Gaston (Gomer Goof),Andr? Franquin,1957,French
146,Gilead,Marilynne Robinson,2004,English
147,Gone Girl,Gillian Flynn,2012,English
148,Gravity's Rainbow,Thomas Pynchon,1973,English
149,Gulliver's Travels,Jonathan Swift,1726,English
150,Gypsy Ballads,Federico Garc?a Lorca,1928,Spanish
151,Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,English
152,Haroun and the Sea of Stories,Salman Rushdie,1990,English
153,Harry Potter and the Goblet of Fire,JK Rowling,2000,English
154,Harvest,Jim Crace,2013,English
155,"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro,2001,English
156,Heart of Darkness,Joseph Conrad,1899,English
157,Henderson The Rain King,Saul Bellow,1959,English
158,Hope in the Dark,Rebecca Solnit,2004,English
159,Howards End,E. M. Forster,1910,English
160,The Adventures of Huckleberry Finn,Mark Twain,1884,English
161,Human Chain,Seamus Heaney,2010,English
162,I Feel Bad About My Neck,Nora Ephron,2006,English
163,If on a Winter's Night a Traveller,Italo Calvino,1979,Italian
164,"If This Is a Man (Se questo ? un uomo, Survival in Auschwitz)",Primo Levi,1947,Italian
165,Infinite Jest,David Foster Wallace,1996,English
166,Ironweed,William Kennedy,1983,English
167,Jane Eyre,Charlotte Bront?,1847,English
168,Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,2000,English
169,"Journal, 1887-1910",Jules Renard,1925,French
170,Jude the Obscure,Tomas Hardy,1894,English
171,Kim,Rudyard Kipling,1901,English
172,LA Confidential,James Ellroy,1990,English
173,Lady Chatterley's Lover,D.H. Lawrence,1928,English
174,Lanark,Alasdair Gray,1981,English
175,Le Grand Meaulnes,Alain-Fournier,1913,French
176,Le Silence de la mer,Vercors,1942,French
177,Levels of Life,Julian Barnes,2013,English
178,Life After Life,Kate Atkinson,2013,English
179,Life: A User's Manual,Georges Perec,1978,French
180,Light,M John Harrison,2002,English
181,Little Women,Louisa M. Alcott,1868,English
182,Madame Bovary,Gustave Flaubert,1857,French
183,Main Street,Sinclair Lewis,1920,English
184,Malone Dies,Samuel Beckett,1951,French
185,Manhattan Transfer,John Dos Passos,1925,English
186,Man's Fate,Andr? Malraux,1933,French
187,Martin Eden,Jack London,1909,English
188,Men Without Women,Ernest Hemingway,1927,English
189,Moby-Dick,Herman Melville,1851,English
190,Moneyball,Michael Lewis,2003,English
191,Moravagine,Blaise Cendrars,1926,French
192,Mother's Milk,Edward St Aubyn,2006,English
193,Mrs Palfrey at the Claremont ,Elizabeth Taylor,1971,English
194,My Brilliant Friend,Elena Ferrante,2011,Italian
195,Nadja,Andr? Breton,1928,French
196,Naked Lunch,William Burroughs,1959,English
197,Neuromancer,William Gibson,1984,English
198,Nickel and Dimed,Barbara Ehrenreich,2001,English
199,Night Watch,Terry Pratchett,2002,English
200,Nightmare Abbey,Thomas Love Peacock,1818,English
201,No Orchids For Miss Blandish,James Hadley Chase,1939,English
202,Normal People,Sally Rooney,2018,English
203,Northern Lights ,Philip Pullman,1995,English
204,Notes on a Scandal,Zo? Heller,2003,English
